"long","lat","bio1","bio12"
-72.6041666663685,-14.8125000002195,0.913333415985107,784
-69.8124999996795,-17.7291666669095,3.37766599655151,293
-68.8541666663385,-27.1875000003185,-0.0421666391193867,98
-75.8124999997275,-13.1458333335395,5.97116708755493,563
-72.0208333330305,-14.2291666668815,8.90433311462402,958
-77.6041666664085,-8.3125000001675,9.27966690063477,858
-73.4374999997085,-14.5208333335505,4.34749984741211,909
-67.1041666663245,-19.3958333335895,9.11349964141846,191
-69.2291666663415,-14.6875000002185,0.6828333735466,970
-68.3541666663345,-22.6041666669485,8.26283359527588,36
-67.3541666663265,-19.3541666669225,8.78816699981689,193
-67.7291666663295,-24.3958333336295,9.02533340454102,49
-75.6458333330595,-11.4791666668595,8.8886661529541,757
-69.2708333330085,-19.5208333335905,11.8765001296997,52
-71.6041666663605,-13.6875000002105,10.7348299026489,602
-67.9791666663315,-17.1875000002385,8.87416553497314,418
-71.2708333330245,-15.5625000002255,2.97916698455811,649
-66.1458333329835,-23.2291666669535,8.23900032043457,156
-78.8958333330855,-1.3541666667785,5.50733280181885,734
-66.8541666663225,-25.7708333336405,2.09216690063477,134
-73.8958333330455,-14.1875000002145,8.5314998626709,847
-69.0624999996735,-17.0625000002375,8.77099990844727,501
-66.4791666663195,-21.4375000002725,7.7106671333313,160
-70.8958333330215,-15.1875000002225,3.47900009155273,887
-68.6041666663365,-18.6458333335835,7.482666015625,242
-73.0208333330385,-14.8958333335535,2.59116697311401,746
-70.3958333330175,-16.5625000002335,4.65850019454956,538
-67.1874999996585,-18.6875000002505,8.9593334197998,314
-68.6041666663365,-24.9791666669675,7.5310001373291,28
-66.3958333329855,-24.4791666669635,3.98916697502136,136
-76.4791666663995,-11.5625000001935,2.85416698455811,861
-67.1041666663245,-24.8541666669665,6.03616714477539,89
-76.0208333330625,-12.6458333335355,7.05633401870728,531
-71.6041666663605,-13.6875000002105,10.7348299026489,602
-68.0208333329985,-23.1041666669525,13.3423299789429,44
-67.7291666663295,-22.1041666669445,1.23199999332428,97
-68.5208333330025,-26.1041666669765,0.608500123023987,77
-70.2708333330165,-15.2708333335565,8.51650047302246,708
-66.0208333329825,-24.9375000003005,13.0150003433228,190
-73.5624999997095,-14.8958333335535,4.28333282470703,761
-67.8958333329975,-25.5208333336385,0.150499999523163,96
-65.7708333329805,-24.3958333336295,10.0246696472168,184
-77.7291666664095,-9.2291666668415,12.9040002822876,446
-66.8541666663225,-25.2291666669695,5.91933298110962,105
-67.3958333329935,-24.8541666669665,8.45650005340576,63
-67.7291666663295,-23.1458333336195,2.89716696739197,79
-68.3958333330015,-21.8125000002755,5.93300008773804,53
-76.6041666664005,-11.5625000001935,4.86783313751221,684
-66.6874999996545,-25.8541666669745,5.57933282852173,121
-73.5624999997095,-15.1458333335555,8.86733341217041,522
-77.3958333330735,-8.9375000001725,10.5085000991821,671
-77.1458333330715,-10.5208333335185,12.9213304519653,441
-68.1874999996665,-27.7291666669895,8.10533332824707,102
-69.1458333330075,-14.7708333335525,2.03449988365173,975
-69.6041666663445,-18.3541666669145,9.86516666412354,152
-69.3124999996755,-29.3958333336695,4.95366716384888,109
-70.6874999996865,-16.2708333335645,4.7436671257019,539
-67.9791666663315,-25.6041666669725,0.747500002384186,83
-70.8958333330215,-15.3125000002235,2.41050004959106,863
-67.6041666663285,-24.3125000002955,9.37533378601074,54
-66.4374999996525,-22.8541666669505,5.37949991226196,146
-66.7708333329885,-20.3541666669305,8.84183311462402,137
-77.2291666664055,-10.3541666668505,5.9850001335144,594
-70.4374999996845,-13.8125000002115,6.368332862854,827
-68.3958333330015,-20.1458333335955,6.70599985122681,94
-75.7708333330605,-12.7708333335365,4.55216598510742,651
-77.1041666664045,-10.0208333335145,3.28933310508728,759
-66.6041666663205,-19.2291666669215,5.81500005722046,217
-68.6041666663365,-25.9375000003085,3.16166710853577,57
-71.7708333330285,-13.2708333335405,8.65533447265625,704
-75.3124999997235,-13.4791666668755,5.97116708755493,624
-71.8124999996955,-15.5208333335585,1.94583296775818,635
-67.2291666663255,-17.3958333335735,7.01716709136963,549
-70.6874999996865,-15.8958333335615,4.31799983978271,700
-68.0208333329985,-26.4791666669795,3.1261670589447,86
-65.5624999996455,-23.5625000002895,6.14383411407471,212
-73.2708333330405,-14.5208333335505,6.96400022506714,856
-68.3124999996675,-21.3541666669385,6.74416589736938,60
-69.7291666663455,-14.9375000002205,8.4394998550415,734
-69.7708333330125,-17.0208333335705,3.45000004768372,506
-68.5208333330025,-25.8541666669745,6.22933292388916,44
-67.3541666663265,-20.2291666669295,8.04049968719482,160
-68.4791666663355,-23.8958333336255,11.9316701889038,23
-75.8958333330615,-11.1458333335235,5.27416706085205,1085
-71.3541666663585,-14.1041666668805,7.11450004577637,820
-66.6458333329875,-16.8958333335695,9.04450035095215,924
-68.5624999996695,-25.7291666669735,6.07883405685425,42
-66.9374999996565,-24.5625000002975,6.8663330078125,91
-68.3958333330015,-22.2291666669455,10.636830329895,34
-68.3541666663345,-25.2708333336365,4.90616703033447,48
-66.1874999996505,-23.1458333336195,8.20833301544189,151
-67.1874999996585,-19.2708333335885,9.00949954986572,213
-68.1458333329995,-18.2708333335805,8.06083297729492,294
-67.8541666663305,-22.9375000002845,5.29133319854736,62
-71.3124999996915,-13.9375000002125,4.17799997329712,894
-67.7708333329965,-17.7291666669095,8.64949989318848,348
-66.4374999996525,-26.6041666669805,8.16450023651123,185
-68.5624999996695,-18.9791666669195,4.96816682815552,228
-71.2291666663575,-13.9791666668795,4.45666599273682,865
-70.7708333330205,-14.8541666668865,6.75099992752075,764
-65.7291666663135,-24.4375000002965,7.5373330116272,183
-67.5624999996615,-17.1041666669045,9.06366634368896,497
-67.7291666663295,-23.3958333336215,2.82850003242493,76
-70.8124999996875,-14.3541666668825,4.72883319854736,843
-70.1874999996825,-14.4375000002165,5.01000022888184,815
-68.3541666663345,-23.6458333336235,14.0901699066162,28
-71.3541666663585,-14.9375000002205,6.29150009155273,820
-65.8124999996475,-23.4791666669555,10.4153299331665,164
-68.3958333330015,-18.5625000002495,7.75250005722046,250
-68.1041666663325,-17.8958333335775,7.06416702270508,356
-67.2708333329925,-23.4375000002885,4.11350011825562,89
-66.3958333329855,-25.2291666669695,9.75533294677734,137
-67.8124999996635,-21.7291666669415,2.46300005912781,87
-77.7708333330765,-8.6458333335035,4.13800001144409,939
-70.8541666663545,-15.3125000002235,2.66499996185303,872
-70.2708333330165,-14.9791666668875,6.4151668548584,819
-69.1874999996745,-20.8958333336015,14.5978298187256,13
