"long","lat","bio1","bio12"
-68.0208333329985,-22.9791666669515,12.3091697692871,44
-67.2708333329925,-22.9791666669515,5.22900009155273,85
-67.3124999996595,-22.9791666669515,5.14916706085205,82
-67.6458333329955,-22.9791666669515,3.39000010490417,82
-68.2708333330005,-22.9791666669515,13.7854995727539,34
-67.8541666663305,-22.9375000002845,5.29133319854736,62
-67.6874999996625,-22.9375000002845,2.66449999809265,81
-65.5624999996455,-22.9375000002845,9.67983341217041,215
-67.1874999996585,-22.8958333336175,4.85466718673706,92
-65.2708333329765,-22.8958333336175,9.1163330078125,256
-65.6458333329795,-22.8958333336175,9.85550022125244,211
-67.6874999996625,-22.8541666669505,4.25833320617676,69
-68.0624999996655,-22.8541666669505,11.8291702270508,42
-68.1874999996665,-22.8541666669505,12.9728298187256,37
-65.6874999996465,-22.8541666669505,10.3516702651978,209
-67.8958333329975,-22.8125000002835,3.5613329410553,65
-68.3958333330015,-22.8125000002835,10.6533298492432,30
-68.1041666663325,-22.7708333336165,10.7133302688599,41
-67.8124999996635,-22.7708333336165,4.48366594314575,65
-65.7708333329805,-22.7291666669495,10.841329574585,211
-65.7291666663135,-22.7291666669495,10.8664999008179,215
-68.0208333329985,-22.6875000002825,6.84766721725464,50
-65.7291666663135,-22.6875000002825,10.8558301925659,221
-66.1458333329835,-22.6875000002825,9.50799942016602,177
-68.1874999996665,-22.6875000002825,9.44333362579346,38
-65.8124999996475,-22.6875000002825,10.5834999084473,214
-68.1458333329995,-22.6458333336155,8.08966636657715,45
-67.6874999996625,-22.6458333336155,3.74783301353455,74
-67.9374999996645,-22.6041666669485,2.45600008964539,74
-67.6874999996625,-22.6041666669485,4.16733312606812,72
-67.8541666663305,-22.6041666669485,-0.452333301305771,93
-68.1041666663325,-22.6041666669485,6.76033401489258,49
-68.0208333329985,-22.6041666669485,4.20533323287964,59
-67.4374999996605,-22.5625000002815,4.02116680145264,86
-67.6458333329955,-22.5625000002815,4.28249979019165,72
-66.1458333329835,-22.5625000002815,9.47033309936523,184
